Timestamp,What is your Age?,What is your current year of study?,What is your field of study?,What is your primary source of funds for personal expenses?,"Have you ever used a 'Buy Now, Pay Later' (BNPL) or an EMI service for a purchase?",Which of the following services have you used? (Select all that apply),How often do you use these services?,What have you typically purchased using BNPL or EMI? (Select all that apply),What is the primary reason you have chosen not to use BNPL or EMI services? ,"Even though you haven't used them, what is your general perception of these ""Buy Now, Pay Later"" services?",How likely are you to consider using a BNPL service in the next year?,BNPL/EMI services make expensive products seem more affordable.,These services are a convenient and helpful financial tool for students.,I worry about the hidden charges or high late fees.,Using BNPL makes it easy to overspend or lose track of my budget.,"What is your overall opinion of 'Buy Now, Pay Later' (BNPL) services like Slice or LazyPay?",Describe a positive experience you have had using an EMI or BNPL service. What made it good?,"Describe a negative experience you have had, if any. What went wrong?",What is your single biggest fear or concern about using these services regularly?
24/09/2025 14:29:38,23,2nd Year,Science,Parental Allowance,No,,,,I don't trust them or worry about hidden fees.,I don't have a strong opinion about them either way.,Unlikely,,,,,,,,
24/09/2025 14:29:39,22,Post-Graduate,Science,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't know enough about how they work.",They seem like a convenient and helpful financial tool for managing expenses.,"Neutral, Unlikely",,,,,,,,
24/09/2025 14:30:22,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I don't trust them or worry about hidden fees., I am worried about getting into debt.",They seem like they could encourage overspending and lead to a cycle of debt.,Neutral,,,,,,,,
24/09/2025 14:30:44,23,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,They seem like a convenient and helpful financial tool for managing expenses.,Likely,,,,,,,,
24/09/2025 14:31:14,22,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,Buy now and go bankrupt later,Very Unlikely,,,,,,,,
24/09/2025 14:31:15,22,Post-Graduate,Science,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,I don't have a strong opinion about them either way.,Unlikely,,,,,,,,
24/09/2025 14:31:22,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
24/09/2025 14:31:27,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I don't need them / I can afford to pay upfront.,They seem like a convenient and helpful financial tool for managing expenses.,"Likely, Neutral",,,,,,,,
24/09/2025 14:31:32,22,2nd Year,Engineering / Technology,Parental Allowance,No,,,,I am worried about getting into debt.,They seem like a convenient and helpful financial tool for managing expenses.,Likely,,,,,,,,
24/09/2025 14:31:38,22,Post-Graduate,Engineering / Technology,Parental Allowance,Yes,No-Cost EMI on a Debit/Credit Card,Rarely (I've only used it once or twice),"Electronics (Mobiles, Laptops, etc.)",,,,3,4,4,3,Neutral,It helped me afford something I couldn't pay for upfront.,"There were hidden fees or unexpected charges., It encouraged me to overspend or lose track of my budget., It negatively impacted my credit score.",The impact on my future credit score
24/09/2025 14:31:42,21,2nd Year,Engineering / Technology,Parental Allowance,No,,,,"I don't need them / I can afford to pay upfront., I am worried about getting into debt.",They seem like a convenient and helpful financial tool for managing expenses.,Very Likely,,,,,,,,
24/09/2025 14:31:53,22,Post-Graduate,Engineering / Technology,Parental Allowance,No,,,,I don't know enough about how they work.,They seem like a convenient and helpful financial tool for managing expenses.,Neutral,,,,,,,,
